date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:55:34	42180/42180	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2261c2b6aa-a4c4%22	https://www.aishk.edu.hk/fonts/AvenirNext-Italic/AvenirNext-Italic.eot	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/fonts/AvenirNext-Italic/AvenirNext-Italic.eot	(from https://www.aishk.edu.hk/css/main.css?v=1698904700255)
13:55:34	42180/42180	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2261c2b6aa-a4c4%22	https://www.aishk.edu.hk/fonts/AvenirNext-Italic/AvenirNext-Italic.eot?	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/fonts/AvenirNext-Italic/AvenirNext-Italicd41d.eot	(from https://www.aishk.edu.hk/css/main.css?v=1698904700255)
13:55:35	12232/12232	---M--	200	added ('OK')	font/woff2	etag:%2264d30069-2fc8%22	https://www.aishk.edu.hk/fonts/AvenirNext-Italic/AvenirNext-Italic.woff2	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/fonts/AvenirNext-Italic/AvenirNext-Italic.woff2	(from https://www.aishk.edu.hk/css/main.css?v=1698904700255)
13:55:35	16056/16056	---M--	200	added ('OK')	font/woff	etag:%2261c2b6aa-3eb8%22	https://www.aishk.edu.hk/fonts/AvenirNext-Italic/AvenirNext-Italic.woff	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/fonts/AvenirNext-Italic/AvenirNext-Italic.woff	(from https://www.aishk.edu.hk/css/main.css?v=1698904700255)
13:55:35	41952/41952	---M--	200	added ('OK')	application/octet-stream	etag:%2261c2b6aa-a3e0%22	https://www.aishk.edu.hk/fonts/AvenirNext-Italic/AvenirNext-Italic.ttf	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/fonts/AvenirNext-Italic/AvenirNext-Italic.ttf	(from https://www.aishk.edu.hk/css/main.css?v=1698904700255)
13:55:35	82165/82165	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261c2b6aa-140f5%22	https://www.aishk.edu.hk/fonts/AvenirNext-Italic/AvenirNext-Italic.svg	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/fonts/AvenirNext-Italic/AvenirNext-Italic.svg	(from https://www.aishk.edu.hk/css/main.css?v=1698904700255)
13:55:36	18185/18185	---M--	200	added ('OK')	image/png	etag:%2261c2b6aa-4709%22	https://www.aishk.edu.hk/img/header-shadow.png	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/img/header-shadow.png	(from https://www.aishk.edu.hk/css/main.css?v=1698904700255)
13:55:36	262/262	---M--	200	added ('OK')	image/svg+xml	etag:%22650291a5-106%22	https://www.aishk.edu.hk/img/white-oval.svg	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/img/white-oval.svg	(from https://www.aishk.edu.hk/css/main.css?v=1698904700255)
13:55:36	306/306	---M--	200	added ('OK')	image/svg+xml	etag:%2265111eb8-132%22	https://www.aishk.edu.hk/img/white-oval-down.svg	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/img/white-oval-down.svg	(from https://www.aishk.edu.hk/css/main.css?v=1698904700255)
13:55:36	309/309	---M--	200	added ('OK')	image/svg+xml	etag:%22650291a5-135%22	https://www.aishk.edu.hk/img/green-oval-down.svg	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/img/green-oval-down.svg	(from https://www.aishk.edu.hk/css/main.css?v=1698904700255)
13:55:36	1331/1331	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261c2b6ab-533%22	https://www.aishk.edu.hk/img/white-oval-shadow.svg	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/img/white-oval-shadow.svg	(from https://www.aishk.edu.hk/css/main.css?v=1698904700255)
13:55:37	148251/148251	---M--	200	added ('OK')	image/jpeg	etag:%2261c2b6aa-2431b%22	https://www.aishk.edu.hk/img/discover/background-hk.jpg	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/img/discover/background-hk.jpg	(from https://www.aishk.edu.hk/css/main.css?v=1698904700255)
13:55:37	116983/116983	---M--	200	added ('OK')	image/jpeg	etag:%2261c2b6aa-1c8f7%22	https://www.aishk.edu.hk/img/discover/background-au.jpg	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/img/discover/background-au.jpg	(from https://www.aishk.edu.hk/css/main.css?v=1698904700255)
13:55:37	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2018%20Dec%202023%2005:54:44%20GMT	https://www.aishk.edu.hk/access-reminder	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/access-reminder	(from https://www.aishk.edu.hk/app)
13:55:37	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2018%20Dec%202023%2005:54:45%20GMT	https://www.aishk.edu.hk/parentlounge	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/parentlounge	(from https://www.aishk.edu.hk/app)
13:55:38	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2018%20Dec%202023%2005:55:08%20GMT	https://www.aishk.edu.hk/admissions/explore-our-campus-in-360	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/admissions/explore-our-campus-in-360	(from https://www.aishk.edu.hk/app)
13:55:38	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2018%20Dec%202023%2005:55:08%20GMT	https://www.aishk.edu.hk/admissions/explore-our-campus-in-360	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/admissions/explore-our-campus-in-360	(from https://www.aishk.edu.hk/app)
13:55:39	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2018%20Dec%202023%2005:55:38%20GMT	http://www.aishk.edu.hk/access-reminder	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/access-reminder.6e.delayed	(from https://www.aishk.edu.hk/app)
13:55:39	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2018%20Dec%202023%2005:54:44%20GMT	https://www.aishk.edu.hk/access-reminder	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/access-reminder	(from https://www.aishk.edu.hk/app)
13:55:39	0/-1	---M--	301	error ('')			http://www.aishk.edu.hk/access-reminder	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/access-reminder.70.delayed	(from https://www.aishk.edu.hk/app)
13:55:39	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2018%20Dec%202023%2005:54:44%20GMT	https://www.aishk.edu.hk/access-reminder	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/access-reminder	(from https://www.aishk.edu.hk/app)
13:55:40	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2018%20Dec%202023%2005:54:44%20GMT	https://www.aishk.edu.hk/access-reminder	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/access-reminder	(from https://www.aishk.edu.hk/current-family-information)
13:55:40	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2018%20Dec%202023%2005:54:45%20GMT	https://www.aishk.edu.hk/parentlounge	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/parentlounge	(from https://www.aishk.edu.hk/current-family-information)
13:55:40	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2018%20Dec%202023%2005:55:08%20GMT	https://www.aishk.edu.hk/admissions/explore-our-campus-in-360	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/admissions/explore-our-campus-in-360	(from https://www.aishk.edu.hk/current-family-information)
13:55:40	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2018%20Dec%202023%2005:55:08%20GMT	https://www.aishk.edu.hk/admissions/explore-our-campus-in-360	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/admissions/explore-our-campus-in-360	(from https://www.aishk.edu.hk/current-family-information)
13:55:41	545106/545106	---M--	200	added ('OK')	image/jpeg	etag:%222c3ca0a1242800794f32f3a4d57d28f0%22	https://media.sg.digistormhosting.com.au/aishk-hk-244-website/content/Calendars/2023-School-Calendar-August2023.2.jpg?v=1693460939	C:/Users/gavin_ha/Downloads/httrack/AISHK/media.sg.digistormhosting.com.au/aishk-hk-244-website/content/Calendars/2023-School-Calendar-August2023.207a1.jpg	(from https://www.aishk.edu.hk/current-family-information)
13:55:41	549063/549063	---M--	200	added ('OK')	image/jpeg	etag:%22128cbcc9953de3b157f61fbf0eadb901%22	https://media.sg.digistormhosting.com.au/aishk-hk-244-website/content/Calendars/2024-School-Calendar-November2023.jpg?v=1701139531	C:/Users/gavin_ha/Downloads/httrack/AISHK/media.sg.digistormhosting.com.au/aishk-hk-244-website/content/Calendars/2024-School-Calendar-November202383e3.jpg	(from https://www.aishk.edu.hk/current-family-information)
13:55:41	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2018%20Dec%202023%2005:55:41%20GMT	https://www.aishk.edu.hk/parentportal	C:/Users/gavin_ha/Downloads/httrack/AISHK/www.aishk.edu.hk/parentportal	(from https://www.aishk.edu.hk/current-family-information)
